City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bluff,NZ,2022-03-19 01:53:42,-46.6,168.3333,72.81,67,47,12.68
68,Kruisfontein,ZA,2022-03-19 01:53:42,-34.0033,24.7314,64.4,84,100,3.31
69,Rio Gallegos,AR,2022-03-19 01:53:42,-51.6226,-69.2181,41.05,70,40,2.3
70,Teknaf,BD,2022-03-19 01:53:43,20.8624,92.3058,78.6,58,77,6.53
71,Bethel,US,2022-03-19 01:53:43,41.3712,-73.414,59.88,75,100,5.99
72,Port Macquarie,AU,2022-03-19 01:53:43,-31.4333,152.9167,77.9,86,54,14.92
73,Chokurdakh,RU,2022-03-19 01:53:44,70.6333,147.9167,-6.99,91,32,6.13
74,Soyo,AO,2022-03-19 01:53:44,-6.1349,12.3689,78.82,84,100,8.37
75,Chapais,CA,2022-03-19 01:53:44,49.7834,-74.8492,22.78,95,28,3.02
76,Calvinia,ZA,2022-03-19 01:52:52,-31.4707,19.776,69.67,67,100,6.87
77,Khatanga,RU,2022-03-19 01:53:45,71.9667,102.5,11.88,94,78,11.1
78,Bima,ID,2022-03-19 01:53:45,-8.4667,118.7167,83.55,81,100,4.54
79,Laguna,US,2022-03-19 01:53:46,38.421,-121.4238,71.4,48,0,6.91
80,Portree,GB,2022-03-19 01:53:46,57.4129,-6.1942,48.52,80,95,10.85
81,Saldanha,ZA,2022-03-19 01:53:46,-33.0117,17.9442,64.45,74,56,5.73
82,Chuy,UY,2022-03-19 01:53:47,-33.6971,-53.4616,60.31,86,100,13.13
83,Huallanca,PE,2022-03-19 01:53:47,-9.8993,-76.9417,49.46,87,100,0.87
84,Atuona,PF,2022-03-19 01:53:47,-9.8,-139.0333,78.91,73,1,15.84
85,Dikson,RU,2022-03-19 01:53:48,73.5069,80.5464,16.2,87,12,21.34
86,Faanui,PF,2022-03-19 01:53:48,-16.4833,-151.75,82.33,66,3,13.22
87,Alofi,NU,2022-03-19 01:50:31,-19.0595,-169.9187,85.89,70,99,9.22
88,Sendafa,ET,2022-03-19 01:53:49,9.15,39.0333,56.12,76,100,0.96
89,Sampit,ID,2022-03-19 01:53:49,-2.5333,112.95,81.57,76,100,2.98
90,Fairbanks,US,2022-03-19 01:52:37,64.8378,-147.7164,31.82,53,0,6.91
91,Skibbereen,IE,2022-03-19 01:54:49,51.55,-9.2667,51.12,83,0,23.26
92,Newport,GB,2022-03-19 01:54:50,51.5877,-2.9984,48.45,80,0,13.09
93,Punta Arenas,CL,2022-03-19 01:54:50,-53.15,-70.9167,41.11,65,0,4.61
94,Lebanon,US,2022-03-19 01:53:02,36.2081,-86.2911,62.94,83,75,23.02
95,Sorland,NO,2022-03-19 01:54:51,67.667,12.6934,42.76,89,100,51.23
96,Alice Springs,AU,2022-03-19 01:54:51,-23.7,133.8833,94.55,20,28,12.66
97,Carauari,BR,2022-03-19 01:54:51,-4.8828,-66.8958,73.67,98,100,0.11
98,Arraial Do Cabo,BR,2022-03-19 01:54:52,-22.9661,-42.0278,77.04,87,0,24.02
99,Ayagoz,KZ,2022-03-19 01:54:52,47.9714,80.4392,12.09,95,100,6.06
100,Hermanus,ZA,2022-03-19 01:51:14,-34.4187,19.2345,66.79,92,12,9.62
101,Kuching,MY,2022-03-19 01:54:52,1.55,110.3333,79.02,89,20,3.44
102,Butaritari,KI,2022-03-19 01:54:53,3.0707,172.7902,81.01,80,18,20.49
103,Provideniya,RU,2022-03-19 01:54:53,64.3833,-173.3,6.39,64,0,5.84
104,Bouca,CF,2022-03-19 01:54:54,6.5105,18.2733,72.72,53,51,3.36
105,Saint-Augustin,CA,2022-03-19 01:54:54,51.226,-58.6502,23.61,83,100,10.92
106,Nizhniy Tsasuchey,RU,2022-03-19 01:54:54,50.5167,115.1333,21.18,55,100,3.96
107,Baykit,RU,2022-03-19 01:54:55,61.67,96.37,15.33,90,100,5.97
108,Airai,TL,2022-03-19 01:54:55,-8.9266,125.4092,73.94,64,87,1.19
109,Bambous Virieux,MU,2022-03-19 01:54:55,-20.3428,57.7575,77.22,94,20,2.3
110,Thompson,CA,2022-03-19 01:52:58,55.7435,-97.8558,37.56,65,40,2.3
111,Monteagudo,BO,2022-03-19 01:54:56,-19.8167,-63.9833,65.89,97,100,3.24
112,Norman Wells,CA,2022-03-19 01:54:56,65.282,-126.8329,12.24,62,75,2.3
113,Avera,US,2022-03-19 01:54:56,33.194,-82.5271,60.31,93,100,13.73
114,Ambositra,MG,2022-03-19 01:54:57,-20.5167,47.25,63.63,98,100,2.15
115,Codrington,AU,2022-03-19 01:54:57,-38.2667,141.9667,74.28,45,7,3.36
116,Sikonge,TZ,2022-03-19 01:54:57,-5.6333,32.7667,63.12,96,94,2.21
117,Purpe,RU,2022-03-19 01:54:58,64.4803,76.6897,22.68,91,100,16.96
118,Pangnirtung,CA,2022-03-19 01:54:58,66.1451,-65.7125,-25.51,91,38,6.38
119,Port Elizabeth,ZA,2022-03-19 01:54:58,-33.918,25.5701,67.32,96,100,2.3
120,Longyearbyen,SJ,2022-03-19 01:54:59,78.2186,15.6401,28.24,69,40,9.22
121,Kudahuvadhoo,MV,2022-03-19 01:54:59,2.6708,72.8944,82.35,76,17,14.65
