City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ribeira Grande,PT,38.5167,-28.7,61.2,88,75,18.41,broken clouds
80,Buchanan,LR,5.8808,-10.0467,80.74,83,100,7.0,overcast clouds
81,Rosario Oeste,BR,-14.8361,-56.4275,88.72,64,100,3.74,overcast clouds
82,Yumen,CN,40.2833,97.2,35.35,42,100,4.85,overcast clouds
83,Mahebourg,MU,-20.4081,57.7,79.09,83,40,6.91,scattered clouds
84,Bengkulu,ID,-3.8004,102.2655,75.67,86,97,4.32,overcast clouds
85,Hilo,US,19.7297,-155.09,76.73,78,75,8.05,light rain
86,Sitka,US,57.0531,-135.33,46.29,53,75,18.41,broken clouds
87,Tokur,RU,53.1333,132.9,-4.56,100,59,3.36,broken clouds
88,Tuatapere,NZ,-46.1333,167.6833,46.51,82,10,5.1,clear sky
89,Tessalit,ML,20.1986,1.0114,83.41,8,40,8.57,scattered clouds
90,Rawatsar,IN,29.2833,74.3833,80.26,15,0,7.11,clear sky
91,Salinopolis,BR,-0.6136,-47.3561,78.21,89,97,10.25,moderate rain
92,Dikson,RU,73.5069,80.5464,10.76,89,97,16.35,overcast clouds
93,Kaitangata,NZ,-46.2817,169.8464,44.82,88,0,4.45,clear sky
94,Azogues,EC,-2.7333,-78.8333,64.35,85,100,4.94,light rain
95,Ucluelet,CA,48.9329,-125.5528,46.09,88,100,5.5,overcast clouds
96,Itanhem,BR,-17.1664,-40.33,78.76,80,87,6.71,overcast clouds
97,Sao Filipe,CV,14.8961,-24.4956,71.19,72,0,13.33,clear sky
98,Klaksvik,FO,62.2266,-6.589,47.32,87,100,14.54,overcast clouds
99,Grindavik,IS,63.8424,-22.4338,37.87,87,100,6.91,overcast clouds
100,Praia,CV,14.9215,-23.5087,75.74,57,20,21.85,few clouds
101,Portland,US,45.5234,-122.6762,57.92,73,75,10.36,broken clouds
102,Georgetown,MY,5.4112,100.3354,82.33,87,20,3.44,few clouds
103,Salo,IT,45.6086,10.531,60.8,55,0,4.14,clear sky
104,Galesong,ID,-5.3166,119.3661,73.42,81,100,3.78,overcast clouds
105,Yulara,AU,-25.2406,130.9889,73.24,56,0,11.5,clear sky
106,Barrow,US,71.2906,-156.7887,-5.78,77,0,19.57,haze
107,Sogne,NO,58.0833,7.8167,49.15,76,44,10.45,scattered clouds
108,Upernavik,GL,72.7868,-56.1549,5.97,70,100,8.12,overcast clouds
109,Cabo San Lucas,MX,22.8909,-109.9124,82.62,37,0,1.99,clear sky
110,Albany,US,42.6001,-73.9662,43.66,83,100,3.0,overcast clouds
111,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.71,84,100,0.34,overcast clouds
112,Lima,PE,-12.0432,-77.0282,74.39,82,0,8.05,clear sky
113,Port Elizabeth,ZA,-33.918,25.5701,69.1,79,0,18.41,clear sky
114,Rusape,ZW,-18.5278,32.1284,67.21,69,90,5.46,overcast clouds
115,Suez,EG,29.9737,32.5263,54.99,55,7,10.58,clear sky
116,Tazovskiy,RU,67.4667,78.7,11.28,96,99,7.87,overcast clouds
117,Sola,VU,-13.8833,167.55,72.27,94,40,0.0,scattered clouds
118,Nyurba,RU,63.2842,118.3319,-9.18,100,93,1.25,overcast clouds
119,Hobart,AU,-42.8794,147.3294,56.05,84,93,8.05,overcast clouds
120,Souillac,MU,-20.5167,57.5167,79.18,83,40,6.91,light rain
121,Vila Velha,BR,-20.3297,-40.2925,78.75,90,75,8.05,broken clouds
122,Sol-Iletsk,RU,51.1631,54.9918,30.11,97,100,7.9,overcast clouds
123,Marienburg,PL,54.0359,19.0266,46.11,66,2,2.84,clear sky
124,Otradnoye,RU,59.7775,30.8181,37.87,99,100,2.39,overcast clouds
125,Dicabisagan,PH,17.0818,122.4157,76.96,88,35,1.45,scattered clouds
126,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,6.91,light rain
127,Puerto Ayora,EC,-0.7393,-90.3518,85.96,71,43,12.46,light rain
128,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,40,18.68,scattered clouds
129,Calvinia,ZA,-31.4707,19.776,66.7,52,0,7.11,clear sky
130,Geraldton,AU,-28.7667,114.6,84.61,28,23,9.22,few clouds
131,Satao,PT,40.7418,-7.7329,55.04,75,100,10.29,overcast clouds
132,Beringovskiy,RU,63.05,179.3167,16.93,95,100,5.03,light snow
133,Nuuk,GL,64.1835,-51.7216,18.88,62,97,15.99,overcast clouds
134,Atuona,PF,-9.8,-139.0333,79.43,78,100,18.92,overcast clouds
135,Faanui,PF,-16.4833,-151.75,80.62,74,58,12.97,light rain
136,Rorvik,NO,64.8621,11.2373,44.58,100,100,13.8,fog
137,Guerrero Negro,MX,27.9769,-114.0611,81.1,15,0,5.08,clear sky
138,Teahupoo,PF,-17.8333,-149.2667,71.53,75,30,11.86,scattered clouds
139,Shubarkuduk,KZ,49.1447,56.4872,26.17,97,100,5.64,overcast clouds
140,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,72,100,7.78,overcast clouds
141,Norman Wells,CA,65.282,-126.8329,-5.76,65,75,5.75,broken clouds
142,Jamestown,US,42.097,-79.2353,58.01,41,75,11.5,broken clouds
143,Jieshou,CN,33.2634,115.3611,53.85,99,100,5.14,light rain
144,Iqaluit,CA,63.7506,-68.5145,20.93,62,100,3.44,overcast clouds
145,Torbay,CA,47.6666,-52.7314,32.58,77,100,28.77,overcast clouds
